l40,19:01:26.2680960
stimON,19:01:29.9069952
dotsMOVE,19:01:30.8913792
stimOFF,19:01:31.9163648
l40,19:01:31.9178880
stimON,19:01:35.4999808
dotsMOVE,19:01:36.4911360
stimOFF,19:01:37.5161216
r30,19:01:37.5178496
stimON,19:01:41.0532992
dotsMOVE,19:01:42.0410112
stimOFF,19:01:43.0659328
r30,19:01:43.0679552
stimON,19:01:47.0054528
dotsMOVE,19:01:47.9907584
stimOFF,19:01:49.0157056
l40,19:01:49.0172160
stimON,19:01:52.7999872
dotsMOVE,19:01:53.7905792
stimOFF,19:01:54.8155520
l40,19:01:54.8176384
stimON,19:01:58.6627072
dotsMOVE,19:01:59.6653440
stimOFF,19:02:00.6652928
r30,19:02:00.6667008
stimON,19:02:04.6791680
dotsMOVE,19:02:05.6651776
stimOFF,19:02:06.6900736
r30,19:02:06.6913792
stimON,19:02:10.3462144
dotsMOVE,19:02:11.3398656
stimOFF,19:02:12.3648768
l40,19:02:12.3664640
stimON,19:02:16.1462272
dotsMOVE,19:02:17.1396992
stimOFF,19:02:18.1646464
r30,19:02:18.1661568
stimON,19:02:21.8742144
dotsMOVE,19:02:22.8645120
stimOFF,19:02:23.8894464
l40,19:02:23.8912384
stimON,19:02:27.4666880
dotsMOVE,19:02:28.4642688
stimOFF,19:02:29.4892544
l40,19:02:29.4911360
stimON,19:02:33.3871232
dotsMOVE,19:02:34.3890816
stimOFF,19:02:35.3890176
r30,19:02:35.3904000
stimON,19:02:39.0266624
dotsMOVE,19:02:40.0138112
stimOFF,19:02:41.0387968
r30,19:02:41.0401024
stimON,19:02:44.7696000
dotsMOVE,19:02:45.7636992
stimOFF,19:02:46.7886592
l40,19:02:46.7899008
stimON,19:02:50.6594304
dotsMOVE,19:02:51.6634240
stimOFF,19:02:52.6634624
r30,19:02:52.6648064
stimON,19:02:56.6764800
dotsMOVE,19:02:57.6632192
stimOFF,19:02:58.6881792
l40,19:02:58.6899968
stimON,19:03:02.2439552
